样本号,酸解烃_甲烷,酸解烃_乙烷,酸解烃_乙烯,酸解烃_丙烷,酸解烃_丙烯,酸解烃_异丁烷,酸解烃_正丁烷,酸解烃_异戊烷,酸解烃_正戊烷,热释烃_甲烷,热释烃_乙烷,热释烃_乙烯,热释烃_丙烷,热释烃_丙烯,热释烃_异丁烷,热释烃_正丁烷,热释烃_异戊烷,热释烃_正戊烷,class
s20,251 ,8.79 ,0.58 ,2.53 ,0.08 ,0.58 ,0.62 ,0.00 ,0.00 ,9.44 ,0.27 ,0.50 ,0.12 ,1.09 ,0.05 ,0.13 ,0.03 ,0.11 ,1
s21,790 ,27.2 ,0.74 ,7.62 ,0.14 ,1.69 ,1.53 ,0.52 ,0.00 ,9.67 ,0.24 ,2.77 ,0.27 ,6.38 ,0.06 ,0.18 ,0.03 ,0.10 ,0
s22,874 ,30.9 ,0.95 ,9.21 ,0.13 ,2.17 ,2.25 ,1.11 ,0.38 ,5.37 ,0.13 ,1.80 ,0.16 ,3.45 ,0.03 ,0.11 ,0.03 ,0.07 ,0
s23,848 ,31.1 ,1.76 ,10.6 ,0.19 ,2.66 ,3.39 ,1.88 ,1.29 ,11.6 ,0.40 ,1.03 ,0.16 ,2.55 ,0.11 ,0.19 ,0.04 ,0.22 ,0
s24,832 ,30.1 ,0.71 ,10.0 ,0.11 ,2.42 ,2.98 ,1.53 ,0.96 ,11.6 ,0.19 ,0.70 ,0.13 ,2.33 ,0.12 ,0.13 ,0.04 ,0.10 ,0
s25,630 ,23.2 ,0.49 ,7.77 ,0.08 ,1.95 ,2.24 ,1.11 ,0.63 ,13.2 ,0.13 ,0.85 ,0.10 ,2.19 ,0.04 ,0.09 ,0.03 ,0.07 ,0
s26,769 ,29.3 ,1.07 ,9.68 ,0.16 ,2.40 ,3.00 ,1.77 ,1.16 ,4.82 ,0.12 ,1.74 ,0.16 ,3.74 ,0.03 ,0.08 ,0.03 ,0.05 ,0
s27,741 ,31.1 ,0.78 ,10.7 ,0.19 ,2.68 ,3.47 ,1.90 ,1.15 ,4.87 ,0.12 ,1.00 ,0.14 ,7.51 ,0.02 ,0.16 ,0.02 ,0.15 ,0
s28,627 ,22.3 ,0.59 ,7.06 ,0.12 ,1.68 ,1.89 ,0.96 ,0.43 ,7.21 ,0.16 ,0.64 ,0.12 ,1.90 ,0.05 ,0.15 ,0.02 ,0.12 ,0
s29,712 ,26.0 ,1.98 ,8.07 ,0.17 ,1.95 ,2.01 ,1.00 ,0.36 ,8.57 ,0.22 ,3.16 ,0.19 ,4.36 ,0.04 ,0.05 ,0.03 ,0.01 ,0
s30,657 ,24.4 ,1.69 ,7.38 ,0.16 ,1.70 ,1.74 ,0.78 ,0.00 ,6.53 ,0.14 ,2.21 ,0.15 ,4.83 ,0.05 ,0.08 ,0.02 ,0.04 ,0
s31,562 ,20.0 ,0.57 ,6.29 ,0.09 ,1.56 ,1.80 ,0.85 ,0.00 ,11.5 ,0.35 ,0.83 ,0.12 ,3.13 ,0.03 ,0.07 ,0.02 ,0.06 ,0
s32,609 ,22.1 ,0.63 ,7.02 ,0.11 ,1.72 ,1.93 ,0.94 ,0.29 ,12.7 ,0.39 ,0.63 ,0.11 ,1.25 ,0.04 ,0.08 ,0.05 ,0.06 ,0
s33,453 ,15.9 ,0.48 ,4.93 ,0.10 ,1.18 ,1.28 ,0.56 ,0.00 ,9.82 ,0.36 ,0.43 ,0.10 ,0.85 ,0.03 ,0.09 ,0.02 ,0.10 ,0
s34,660 ,23.4 ,1.03 ,7.74 ,0.13 ,1.97 ,2.43 ,1.40 ,0.69 ,10.7 ,0.43 ,0.50 ,0.15 ,1.14 ,0.05 ,0.21 ,0.05 ,0.26 ,0
s35,597 ,20.7 ,1.50 ,6.31 ,0.10 ,1.46 ,1.56 ,0.56 ,0.00 ,11.6 ,0.26 ,0.69 ,0.12 ,1.95 ,0.03 ,0.09 ,0.02 ,0.05 ,0
s36,700 ,30.5 ,0.86 ,10.3 ,0.18 ,2.63 ,3.16 ,1.95 ,1.13 ,2.70 ,0.09 ,1.09 ,0.08 ,2.16 ,0.03 ,0.05 ,0.01 ,0.03 ,0
s37,692 ,27.1 ,0.65 ,8.28 ,0.14 ,1.95 ,2.09 ,0.96 ,0.12 ,6.34 ,0.25 ,2.41 ,0.34 ,7.14 ,0.10 ,0.38 ,0.08 ,0.14 ,0
s38,806 ,28.0 ,0.56 ,8.99 ,0.08 ,2.24 ,2.48 ,1.12 ,0.67 ,10.5 ,0.21 ,0.37 ,0.09 ,0.78 ,0.04 ,0.08 ,0.02 ,0.05 ,0
s39,811 ,29.3 ,0.61 ,9.94 ,0.08 ,2.49 ,3.06 ,1.66 ,0.97 ,9.24 ,0.30 ,0.47 ,0.12 ,1.54 ,0.04 ,0.14 ,0.03 ,0.13 ,0
s40,828 ,27.7 ,1.08 ,8.25 ,0.10 ,1.88 ,1.89 ,0.79 ,0.00 ,10.6 ,0.18 ,0.69 ,0.11 ,0.97 ,0.06 ,0.06 ,,,0
s41,976 ,34.1 ,1.16 ,10.1 ,0.12 ,2.25 ,2.41 ,1.04 ,0.44 ,4.41 ,0.14 ,0.87 ,0.08 ,1.47 ,0.05 ,0.04 ,0.01 ,0.02 ,0
s42,614 ,20.9 ,0.51 ,6.19 ,0.00 ,1.45 ,1.61 ,0.69 ,0.00 ,10.6 ,0.36 ,0.66 ,0.10 ,1.06 ,0.03 ,0.07 ,0.02 ,0.05 ,0
s43,254 ,8.46 ,0.69 ,2.57 ,0.07 ,0.63 ,0.77 ,0.32 ,0.00 ,10.2 ,0.33 ,0.57 ,0.10 ,1.02 ,0.06 ,0.11 ,0.05 ,0.11 ,0
s44,867 ,30.1 ,0.54 ,9.59 ,0.10 ,2.31 ,2.53 ,1.14 ,0.52 ,12.1 ,0.23 ,0.76 ,0.09 ,1.45 ,0.05 ,0.10 ,0.02 ,0.05 ,0
s45,868 ,30.7 ,1.19 ,9.63 ,0.11 ,2.29 ,2.50 ,1.11 ,0.41 ,8.64 ,0.19 ,0.53 ,0.11 ,1.24 ,0.05 ,0.14 ,0.03 ,0.09 ,0
s46,634 ,22.3 ,1.00 ,7.17 ,0.09 ,1.78 ,2.15 ,1.11 ,0.65 ,12.6 ,0.29 ,0.51 ,0.10 ,1.26 ,0.05 ,0.09 ,0.02 ,0.06 ,0
s47,477 ,18.4 ,0.77 ,6.23 ,0.10 ,1.63 ,2.02 ,1.11 ,0.69 ,7.55 ,0.14 ,0.27 ,0.06 ,0.34 ,0.03 ,0.05 ,0.02 ,0.03 ,0
s48,407 ,14.5 ,0.82 ,4.77 ,0.08 ,1.17 ,1.56 ,0.81 ,0.57 ,13.0 ,0.38 ,0.86 ,0.15 ,1.36 ,0.07 ,0.12 ,0.04 ,0.06 ,0
s49,216 ,7.82 ,0.50 ,2.27 ,0.09 ,0.52 ,0.60 ,0.00 ,0.00 ,12.5 ,0.36 ,0.94 ,0.17 ,1.90 ,0.12 ,0.20 ,0.07 ,0.21 ,0
s50,735 ,27.1 ,0.66 ,9.31 ,0.11 ,2.35 ,2.97 ,0.54 ,1.06 ,7.43 ,0.12 ,0.70 ,0.06 ,1.80 ,0.02 ,0.03 ,,0.01 ,0
s51,797 ,29.5 ,1.01 ,9.64 ,0.13 ,2.31 ,2.73 ,1.34 ,0.70 ,5.85 ,0.11 ,0.57 ,0.10 ,1.61 ,0.03 ,0.14 ,0.03 ,0.11 ,0
s52,719 ,26.8 ,0.89 ,9.23 ,0.09 ,2.40 ,3.06 ,1.83 ,1.30 ,7.63 ,0.14 ,0.43 ,0.06 ,1.11 ,0.02 ,0.04 ,0.01 ,0.03 ,0
s53,773 ,29.0 ,0.63 ,9.73 ,0.12 ,2.47 ,2.99 ,1.50 ,0.91 ,9.88 ,0.19 ,0.59 ,0.14 ,3.14 ,0.08 ,0.17 ,0.05 ,0.20 ,0
s54,719 ,28.1 ,0.91 ,9.87 ,0.09 ,2.62 ,3.37 ,1.87 ,1.37 ,9.18 ,0.28 ,0.61 ,0.08 ,1.41 ,0.03 ,0.05 ,0.03 ,0.06 ,0
s55,475 ,17.8 ,0.51 ,5.89 ,0.10 ,1.45 ,1.87 ,0.89 ,0.52 ,9.32 ,0.25 ,0.42 ,0.10 ,8.60 ,0.04 ,0.12 ,0.03 ,0.13 ,0
s56,688 ,32.3 ,1.03 ,10.7 ,0.18 ,2.56 ,2.95 ,1.42 ,0.54 ,5.54 ,0.11 ,0.86 ,0.07 ,2.32 ,0.04 ,0.06 ,0.01 ,0.04 ,0
s57,715 ,26.7 ,1.04 ,9.10 ,0.12 ,2.33 ,2.91 ,1.50 ,1.03 ,8.16 ,0.14 ,0.17 ,0.06 ,0.34 ,0.03 ,0.03 ,0.01 ,0.02 ,0
s58,493 ,17.8 ,0.60 ,5.64 ,0.10 ,1.36 ,1.54 ,0.69 ,0.29 ,11.7 ,0.34 ,0.87 ,0.15 ,2.65 ,0.05 ,0.18 ,0.04 ,0.19 ,0
s59,607 ,23.2 ,1.08 ,7.60 ,0.16 ,1.88 ,2.23 ,1.19 ,0.64 ,8.21 ,0.21 ,0.37 ,0.08 ,0.70 ,0.03 ,0.10 ,0.02 ,0.09 ,0
s60,674 ,25.7 ,0.66 ,8.66 ,0.12 ,2.16 ,2.62 ,1.40 ,0.76 ,8.92 ,0.19 ,1.65 ,0.16 ,51.9 ,0.07 ,0.14 ,0.05 ,0.09 ,0
s61,551 ,19.9 ,0.46 ,6.50 ,0.09 ,1.64 ,1.92 ,0.98 ,0.44 ,8.90 ,0.22 ,0.56 ,0.07 ,1.00 ,0.02 ,0.05 ,0.01 ,0.03 ,0
s62,625 ,22.0 ,0.51 ,6.75 ,0.10 ,1.55 ,1.65 ,0.77 ,0.00 ,17.6 ,0.40 ,1.02 ,0.14 ,1.46 ,0.02 ,0.11 ,0.02 ,0.05 ,0
s63,615 ,21.7 ,1.10 ,6.73 ,0.11 ,1.62 ,1.75 ,0.83 ,0.00 ,12.0 ,0.29 ,0.43 ,0.08 ,3.56 ,0.03 ,0.06 ,0.02 ,0.03 ,0
s64,547 ,18.2 ,0.90 ,5.68 ,0.10 ,1.37 ,1.49 ,0.68 ,0.00 ,10.2 ,0.27 ,0.45 ,0.09 ,1.92 ,0.03 ,0.07 ,0.02 ,0.05 ,0
s65,732 ,26.2 ,0.85 ,8.36 ,0.12 ,2.04 ,2.20 ,0.99 ,0.36 ,13.1 ,0.32 ,0.41 ,0.12 ,2.17 ,0.06 ,0.14 ,0.04 ,0.15 ,0
s66,669 ,26.9 ,1.14 ,7.98 ,0.18 ,1.88 ,2.07 ,0.96 ,0.00 ,8.22 ,0.17 ,0.81 ,0.06 ,1.67 ,0.04 ,0.05 ,,0.02 ,0
s67,660 ,24.2 ,1.09 ,8.23 ,0.16 ,2.16 ,2.69 ,1.46 ,0.99 ,11.1 ,0.27 ,0.34 ,0.06 ,0.77 ,0.02 ,0.03 ,0.01 ,0.02 ,0
s68,719 ,25.1 ,0.97 ,7.81 ,0.09 ,1.84 ,2.02 ,0.84 ,0.45 ,11.7 ,0.35 ,0.51 ,0.13 ,1.06 ,0.04 ,0.12 ,0.03 ,0.08 ,0
s69,794 ,29.5 ,0.58 ,10.1 ,0.42 ,2.62 ,3.29 ,1.79 ,1.23 ,15.2 ,0.32 ,1.03 ,0.15 ,4.83 ,0.04 ,0.14 ,0.04 ,0.08 ,0
s70,730 ,25.5 ,0.79 ,7.88 ,0.12 ,1.94 ,2.03 ,0.89 ,0.81 ,8.85 ,0.17 ,0.40 ,0.07 ,0.77 ,0.03 ,0.06 ,0.01 ,0.03 ,0
s71,673 ,27.8 ,0.87 ,8.44 ,0.12 ,1.98 ,2.16 ,0.95 ,0.00 ,11.9 ,0.26 ,1.06 ,0.16 ,2.47 ,0.02 ,0.22 ,0.04 ,0.17 ,0
s72,705 ,24.0 ,0.52 ,7.06 ,0.07 ,1.61 ,1.59 ,0.63 ,0.00 ,17.2 ,0.34 ,0.63 ,0.09 ,1.00 ,0.03 ,0.05 ,0.01 ,0.03 ,0
s73,597 ,20.7 ,0.59 ,6.20 ,0.07 ,1.44 ,1.45 ,0.65 ,0.00 ,6.44 ,0.15 ,0.29 ,0.04 ,0.38 ,0.02 ,0.03 ,0.01 ,0.02 ,0
s74,579 ,16.9 ,0.88 ,3.88 ,0.00 ,0.73 ,0.64 ,0.00 ,0.00 ,9.99 ,0.26 ,0.35 ,0.08 ,0.63 ,0.02 ,0.06 ,0.01 ,0.02 ,0
s75,216 ,7.45 ,0.71 ,2.05 ,0.09 ,0.50 ,0.54 ,0.00 ,0.00 ,20.3 ,0.43 ,0.92 ,0.16 ,1.58 ,0.06 ,0.14 ,0.02 ,0.08 ,0
s76,537 ,18.6 ,0.46 ,5.43 ,0.07 ,1.23 ,1.24 ,0.43 ,0.00 ,12.8 ,0.27 ,0.77 ,0.23 ,1.39 ,0.09 ,0.31 ,0.10 ,0.29 ,0
s77,415 ,16.6 ,0.76 ,4.74 ,0.09 ,1.16 ,1.08 ,0.43 ,0.00 ,6.05 ,0.13 ,1.43 ,0.11 ,1.14 ,0.07 ,0.06 ,,,0
s78,388 ,13.6 ,0.47 ,4.09 ,0.08 ,0.99 ,1.07 ,0.50 ,0.00 ,10.7 ,0.28 ,0.26 ,0.08 ,2.33 ,0.03 ,0.07 ,0.03 ,0.09 ,0
s79,542 ,18.4 ,1.31 ,5.38 ,0.09 ,1.26 ,1.27 ,0.40 ,0.00 ,13.1 ,0.31 ,0.50 ,0.13 ,1.03 ,0.06 ,0.18 ,0.04 ,0.14 ,0
s80,466 ,15.6 ,0.92 ,4.41 ,0.11 ,0.99 ,0.99 ,0.35 ,0.00 ,11.3 ,0.31 ,0.25 ,0.10 ,0.73 ,0.04 ,0.10 ,0.02 ,0.11 ,0
s81,709 ,25.7 ,0.57 ,7.56 ,0.10 ,1.71 ,1.70 ,0.64 ,0.00 ,10.2 ,0.25 ,0.39 ,0.06 ,0.69 ,0.02 ,0.05 ,,0.02 ,0
s82,257 ,8.13 ,0.49 ,2.11 ,0.14 ,0.45 ,0.44 ,0.00 ,0.00 ,12.5 ,0.30 ,0.23 ,0.08 ,0.39 ,0.04 ,0.05 ,0.01 ,0.02 ,0
s83,792 ,40.6 ,0.30 ,13.4 ,0.14 ,3.22 ,3.02 ,1.39 ,0.40 ,3.68 ,0.06 ,0.76 ,0.06 ,1.31 ,0.02 ,0.09 ,0.01 ,0.04 ,0
s84,668 ,25.3 ,0.59 ,7.05 ,0.15 ,1.58 ,1.43 ,0.56 ,0.00 ,6.06 ,0.33 ,2.03 ,0.13 ,2.03 ,0.05 ,0.12 ,0.01 ,0.06 ,0
s85,682 ,23.3 ,0.42 ,6.95 ,0.08 ,1.60 ,1.59 ,0.69 ,0.00 ,16.1 ,0.39 ,0.59 ,0.17 ,1.06 ,0.06 ,0.15 ,0.04 ,0.12 ,0
s86,794 ,27.0 ,0.84 ,7.07 ,0.13 ,1.49 ,1.33 ,0.36 ,0.00 ,5.42 ,0.14 ,1.07 ,0.06 ,1.19 ,0.04 ,0.03 ,,0.02 ,0
s87,779 ,28.4 ,0.57 ,8.04 ,0.11 ,1.77 ,1.71 ,0.59 ,0.00 ,5.85 ,0.11 ,0.81 ,0.07 ,1.13 ,0.07 ,0.09 ,0.02 ,0.06 ,0
s88,573 ,30.1 ,1.00 ,8.26 ,0.15 ,1.61 ,1.45 ,0.40 ,0.00 ,3.34 ,0.06 ,0.54 ,0.02 ,0.27 ,0.04 ,0.02 ,,,0
s89,399 ,13.6 ,0.41 ,3.65 ,0.14 ,0.76 ,0.72 ,0.00 ,0.00 ,12.5 ,0.31 ,0.55 ,0.10 ,0.77 ,0.04 ,0.04 ,0.02 ,0.02 ,0
s90,523 ,19.2 ,0.67 ,6.56 ,0.07 ,1.67 ,2.12 ,1.12 ,0.78 ,16.7 ,0.25 ,0.59 ,0.09 ,0.93 ,0.05 ,0.09 ,0.03 ,0.05 ,0
s91,735 ,25.4 ,1.20 ,7.22 ,0.10 ,1.60 ,1.54 ,0.50 ,0.00 ,14.7 ,0.31 ,0.52 ,0.09 ,0.62 ,0.03 ,0.06 ,0.02 ,0.02 ,0
s92,429 ,14.5 ,0.46 ,3.87 ,0.08 ,0.80 ,0.74 ,0.00 ,0.00 ,12.8 ,0.29 ,1.22 ,0.19 ,1.75 ,0.06 ,0.15 ,0.06 ,0.08 ,0
s93,473 ,16.2 ,0.68 ,4.85 ,0.11 ,1.12 ,1.19 ,0.51 ,0.00 ,10.7 ,0.21 ,0.57 ,0.09 ,1.12 ,0.03 ,0.05 ,0.01 ,0.03 ,0
s94,843 ,33.1 ,0.72 ,9.44 ,0.10 ,2.40 ,1.94 ,0.68 ,0.00 ,4.63 ,0.08 ,0.79 ,0.05 ,0.99 ,0.04 ,0.04 ,,0.01 ,0
s95,837 ,28.0 ,0.56 ,6.95 ,0.12 ,1.39 ,1.25 ,0.42 ,0.00 ,6.12 ,0.15 ,1.89 ,0.18 ,2.56 ,0.19 ,0.16 ,0.02 ,0.05 ,0
s96,482 ,15.9 ,0.37 ,4.33 ,0.07 ,0.93 ,0.89 ,0.30 ,0.00 ,12.4 ,0.36 ,0.49 ,0.10 ,0.92 ,0.04 ,0.06 ,0.02 ,0.04 ,0
s97,411 ,14.0 ,1.12 ,3.68 ,0.00 ,0.78 ,0.72 ,0.00 ,0.00 ,16.2 ,0.40 ,0.90 ,0.20 ,1.80 ,0.06 ,0.17 ,0.04 ,0.10 ,0
s98,584 ,19.9 ,0.60 ,5.64 ,0.07 ,1.25 ,1.23 ,0.47 ,0.00 ,12.2 ,0.39 ,0.64 ,0.14 ,1.19 ,0.06 ,0.13 ,0.03 ,0.14 ,0
s99,278 ,9.18 ,0.31 ,2.46 ,0.07 ,0.55 ,0.54 ,0.00 ,0.00 ,15.5 ,0.42 ,0.55 ,0.16 ,1.08 ,0.06 ,0.12 ,0.03 ,0.13 ,0
s100,754 ,25.3 ,0.60 ,7.10 ,0.00 ,1.55 ,1.46 ,0.50 ,0.00 ,17.1 ,0.42 ,1.03 ,0.26 ,1.74 ,0.05 ,0.22 ,0.07 ,0.23 ,0
s101,281 ,9.46 ,0.62 ,2.68 ,0.07 ,0.57 ,0.60 ,0.00 ,0.00 ,16.4 ,0.47 ,0.64 ,0.16 ,1.08 ,0.04 ,0.12 ,0.05 ,0.13 ,0
s102,743 ,29.3 ,0.60 ,10.5 ,0.11 ,2.71 ,3.57 ,2.08 ,1.47 ,12.2 ,0.26 ,0.66 ,0.10 ,1.70 ,0.03 ,0.08 ,0.02 ,0.04 ,0
s103,400 ,13.2 ,0.43 ,3.79 ,0.08 ,0.81 ,0.81 ,0.00 ,0.00 ,9.18 ,0.22 ,0.46 ,0.08 ,0.56 ,0.04 ,0.08 ,0.02 ,0.06 ,0
s104,320 ,11.6 ,0.49 ,3.11 ,0.06 ,0.68 ,0.62 ,0.00 ,0.00 ,13.0 ,0.34 ,0.38 ,0.11 ,1.62 ,0.04 ,0.10 ,0.03 ,0.12 ,0
s105,391 ,13.4 ,0.50 ,3.73 ,0.06 ,0.80 ,0.78 ,0.00 ,0.00 ,16.0 ,0.44 ,0.71 ,0.22 ,1.71 ,0.09 ,0.28 ,0.10 ,0.34 ,0
s106,606 ,25.1 ,0.57 ,7.04 ,0.07 ,1.50 ,1.29 ,0.44 ,0.00 ,8.12 ,0.13 ,0.81 ,0.07 ,1.39 ,0.03 ,0.05 ,,0.02 ,0
s107,685 ,25.4 ,0.55 ,7.24 ,0.12 ,1.60 ,1.54 ,0.55 ,0.00 ,11.1 ,0.28 ,0.65 ,0.07 ,0.97 ,0.02 ,0.08 ,0.01 ,0.06 ,0
s108,482 ,16.0 ,0.52 ,4.72 ,0.00 ,1.12 ,1.19 ,0.00 ,0.00 ,14.9 ,0.41 ,0.32 ,0.11 ,0.64 ,0.05 ,0.09 ,0.03 ,0.09 ,0
s109,676 ,23.4 ,0.38 ,6.80 ,0.07 ,1.51 ,1.46 ,0.55 ,0.00 ,15.1 ,0.43 ,0.42 ,0.14 ,0.67 ,0.02 ,0.19 ,0.04 ,0.23 ,0
s110,579 ,18.7 ,0.34 ,5.14 ,0.06 ,1.14 ,1.02 ,0.26 ,0.00 ,15.0 ,0.39 ,0.67 ,0.16 ,1.08 ,0.05 ,0.18 ,0.04 ,0.23 ,0
s111,628 ,20.2 ,0.40 ,5.50 ,0.00 ,1.18 ,1.07 ,0.00 ,0.00 ,20.4 ,0.50 ,0.67 ,0.14 ,1.42 ,0.06 ,0.12 ,0.04 ,0.10 ,0
s112,764 ,26.4 ,0.59 ,6.88 ,0.12 ,1.45 ,1.27 ,0.42 ,0.00 ,6.81 ,0.16 ,2.07 ,0.16 ,2.99 ,0.19 ,0.12 ,0.02 ,0.09 ,0
s113,781 ,33.1 ,0.82 ,9.66 ,0.13 ,2.10 ,1.93 ,0.75 ,0.08 ,7.11 ,0.09 ,1.13 ,0.08 ,1.92 ,0.03 ,0.08 ,0.02 ,0.05 ,0
s114,609 ,20.5 ,0.79 ,5.63 ,0.08 ,1.18 ,1.09 ,0.25 ,0.00 ,13.4 ,0.35 ,0.54 ,0.11 ,1.44 ,0.03 ,0.08 ,0.02 ,0.07 ,0
s115,167 ,5.87 ,0.48 ,1.44 ,0.04 ,0.30 ,0.29 ,0.00 ,0.00 ,14.2 ,0.30 ,0.63 ,0.11 ,1.79 ,0.05 ,0.09 ,0.02 ,0.05 ,0
s116,531 ,17.8 ,0.62 ,4.86 ,0.08 ,1.04 ,0.97 ,0.27 ,0.00 ,19.2 ,0.48 ,1.03 ,0.22 ,2.28 ,0.12 ,0.29 ,0.08 ,0.28 ,0
s117,649 ,21.5 ,0.39 ,5.80 ,0.05 ,1.22 ,1.14 ,0.27 ,0.00 ,15.6 ,0.34 ,0.93 ,0.13 ,1.10 ,0.06 ,0.09 ,0.02 ,0.05 ,0
s118,718 ,25.6 ,0.54 ,7.18 ,0.11 ,1.74 ,1.49 ,0.49 ,0.12 ,15.9 ,0.38 ,3.01 ,0.36 ,22.2 ,0.27 ,0.27 ,0.06 ,0.12 ,0
s119,497 ,15.5 ,0.74 ,3.94 ,0.08 ,0.85 ,0.78 ,0.00 ,0.00 ,16.4 ,0.35 ,0.80 ,0.11 ,1.50 ,0.02 ,0.04 ,0.01 ,0.02 ,0
s120,591 ,19.9 ,0.64 ,5.49 ,0.07 ,1.19 ,1.10 ,0.34 ,0.00 ,14.3 ,0.35 ,0.96 ,0.16 ,2.07 ,0.04 ,0.13 ,0.02 ,0.07 ,0
s121,792 ,27.1 ,0.48 ,7.80 ,0.09 ,1.75 ,1.66 ,0.54 ,0.00 ,14.1 ,0.32 ,1.41 ,0.14 ,7.13 ,0.06 ,0.12 ,0.03 ,0.07 ,0
s122,728 ,24.0 ,0.36 ,6.50 ,0.00 ,1.39 ,1.26 ,0.17 ,0.00 ,17.1 ,0.35 ,0.84 ,0.12 ,1.48 ,0.05 ,0.10 ,0.02 ,0.04 ,0
s123,651 ,26.1 ,0.63 ,9.10 ,0.11 ,2.38 ,2.84 ,1.65 ,1.02 ,12.5 ,0.29 ,0.63 ,0.09 ,5.62 ,0.04 ,0.06 ,0.01 ,0.04 ,0
